user_id,item_id,progress,start_date
15325,285380,97,2019-12-18
25136,252707,74,2018-10-13
11865,104518,84,2019-09-22
21066,234576,23,2018-03-24
11408,158191,100,2018-10-29
38705,132396,83,2019-11-27
37572,308643,86,2018-02-19
102501,113125,51,2019-05-10
92172,108318,51,2018-12-16
136965,123007,44,2019-08-28
158666,61345,100,2018-04-15
94327,115427,2,2018-12-30
53540,216042,100,2019-09-19
58934,235715,20,2019-01-24
17277,57112,0,2019-07-09
49132,231862,6,2018-12-24
115917,6890,95,2019-10-11
7901,63990,100,2019-04-29
30819,139223,1,2018-07-10
67742,65876,55,2019-09-30
25302,87663,0,2018-08-17
112148,66091,100,2019-12-13
57557,135493,27,2019-11-30
131103,313137,100,2019-03-07
155199,311422,0,2019-06-18
121654,217198,40,2018-05-26
138234,294946,69,2019-11-13
17932,186596,99,2018-02-08
104932,250477,50,2019-04-08
39620,196207,0,2018-10-02
56232,4019,0,2018-02-14
34745,81456,48,2019-04-17
107727,116917,89,2019-06-04
29293,293368,100,2019-04-20
112051,92393,100,2018-07-25
134442,25405,1,2019-07-25
95996,103675,94,2018-10-24
64650,185506,35,2018-07-29
136666,74939,20,2018-08-09
118991,280524,46,2018-03-02
137311,88745,0,2018-09-14
2857,58803,0,2018-10-10
115148,196985,56,2018-05-26
25595,243711,0,2019-05-17
48066,279414,22,2018-08-20
97318,209379,17,2018-12-25
78648,108505,34,2018-02-21
45769,87800,58,2018-12-30
82933,39160,47,2019-02-08
139337,12504,30,2018-07-05
27786,316537,6,2018-04-25
145507,98510,42,2019-11-21
125918,236904,1,2018-12-07
56169,98038,0,2019-10-27
116873,254794,55,2018-02-13
106745,97606,100,2019-01-14
79525,229551,43,2018-07-08
117363,117095,94,2019-02-13
94551,308454,1,2019-01-20
138096,159331,17,2019-08-01
137299,130597,83,2019-10-19
22387,69073,0,2018-08-20
31169,254418,79,2019-12-23
25653,266336,28,2019-10-12
133205,181213,0,2019-02-06
107234,246967,42,2018-09-30
156677,284642,100,2018-11-26
13334,316712,50,2018-08-19
38470,38247,60,2019-07-06
121627,229263,100,2018-12-04
119210,195636,97,2018-07-17
126402,279873,82,2019-12-12
51809,238526,100,2018-11-24
123298,25405,1,2019-07-13
139411,80333,100,2018-05-20
37928,212746,3,2019-07-15
76107,151215,100,2019-06-08
115342,152551,23,2018-12-17
127341,240815,82,2018-01-24
97961,286545,100,2018-07-03
110351,291649,10,2019-12-21
18442,19934,21,2019-06-09
44561,58320,2,2019-11-02
127386,43500,83,2019-04-08
155422,27100,34,2018-10-04
75813,272535,92,2019-05-25
150203,14918,13,2018-07-31
132083,155137,37,2019-05-24
82870,216356,0,2019-01-19
87874,205289,4,2019-05-03
94450,283133,24,2018-06-01
84955,25368,54,2018-02-22
92149,192391,91,2018-10-26
39865,5606,74,2019-05-26
142779,196406,100,2018-12-21
12061,72335,41,2018-06-06
3630,298835,0,2018-04-28
53624,109265,99,2019-06-24
129697,192953,89,2019-01-03
16522,287247,100,2019-05-13
5874,75439,92,2018-05-08
25567,56329,66,2018-03-08
87362,110543,23,2018-06-25
148813,245548,22,2018-04-24
129042,88990,77,2019-01-14
43821,16830,81,2018-01-19
30296,10125,2,2018-12-07
157312,216083,6,2019-05-18
17124,43782,59,2019-05-21
130360,318883,9,2018-12-27
47361,128356,28,2019-11-15
62456,52482,100,2018-09-12
105661,159789,52,2019-11-20
34345,268423,88,2019-08-16
75638,5438,96,2018-11-26
158609,241026,0,2019-05-02
156944,291832,89,2019-12-22
146785,294085,83,2019-10-06
106665,297077,59,2018-10-21
97580,23970,67,2018-04-15
586,177545,2,2019-03-18
100570,298470,100,2018-05-10
115863,59268,35,2018-08-19
132636,16287,7,2019-02-24
72004,97286,52,2018-10-08
41002,293477,52,2018-02-04
120863,97986,19,2019-04-02
19888,126581,64,2019-11-22
140893,148601,100,2019-07-18
146841,276816,99,2019-07-14
7534,152969,7,2018-03-05
6177,131771,99,2018-04-01
35562,106696,100,2018-06-21
81568,59184,63,2018-08-31
44419,51822,73,2019-04-06
15969,33390,59,2018-06-28
1220,31023,99,2019-11-10
99355,313604,16,2018-08-17
62719,284222,99,2019-12-04
36423,155191,99,2019-01-31
65233,106125,13,2018-02-11
11266,159755,0,2019-08-20
43773,167819,23,2019-08-20
26743,301593,45,2019-08-22
4615,19153,100,2018-08-27
41333,192363,46,2019-09-27
136501,36072,16,2019-11-04
120049,150155,72,2018-12-03
113681,232022,2,2019-06-27
47548,171791,3,2018-01-01
117469,225982,0,2019-07-03
123884,145638,79,2019-10-17
142574,36358,100,2019-05-03
59629,104335,100,2018-07-25
2939,131480,46,2019-01-25
111472,159226,99,2018-11-10
153811,275225,100,2019-05-06
157562,169325,2,2018-08-18
132503,167962,100,2018-08-07
41147,308291,83,2019-11-11
71164,102881,0,2019-08-21
73768,97722,0,2018-08-01
140070,191952,44,2019-11-12
21643,261889,100,2019-07-01
109633,319218,13,2019-04-11
91537,18289,28,2019-08-22
99704,34067,68,2019-03-30
37305,220671,42,2018-09-20
11313,173199,3,2018-12-06
63988,88196,72,2019-09-23
127901,31344,79,2019-10-04
7733,186047,0,2018-09-25
137189,311583,53,2019-10-11
114840,59866,1,2019-12-07
12059,19595,24,2018-03-24
45818,301925,70,2018-04-12
97192,158113,89,2018-09-28
9364,36029,0,2019-05-24
127646,253339,26,2019-08-16
56990,300738,4,2018-06-06
93293,213498,85,2018-03-03
6452,171124,69,2018-12-30
114218,46776,100,2018-07-08
114142,175612,50,2018-09-19
95572,126231,100,2019-04-23
75441,92230,1,2018-04-01
72342,232537,0,2019-02-14
73512,50747,99,2019-06-01
87391,66987,51,2019-02-10
39985,130451,0,2019-05-15
68565,226043,81,2018-07-07
141800,193358,95,2019-05-30
10967,64872,50,2019-07-18
142340,206216,37,2019-11-25
125234,149222,10,2019-03-08
123109,134403,0,2019-03-25
150015,255295,17,2019-02-27
152205,91730,26,2019-09-30
23996,95967,30,2019-12-01
92448,265728,78,2018-06-30
86565,24583,13,2019-10-13
130908,127691,43,2018-01-15
157602,14438,41,2018-07-31
78124,99357,8,2018-08-18
7422,162981,1,2018-11-14
135035,262665,8,2018-11-29
58337,204075,5,2018-05-12
104095,48843,2,2018-01-01
5405,65440,97,2019-04-01
22823,159580,100,2019-05-11
61906,263603,72,2018-05-12
92194,132241,2,2019-01-15
155028,122557,27,2019-06-16
139293,119693,63,2018-04-24
39981,316369,81,2019-12-26
130674,75289,70,2019-01-20
19026,305673,84,2018-06-26
139615,185932,54,2018-09-12
41756,271772,45,2018-11-27
117243,185531,31,2018-07-13
92924,180022,28,2018-06-18
82423,281649,22,2019-11-15
101765,189550,0,2018-06-25
80803,240952,90,2018-03-07
153739,236174,81,2018-05-03
90688,168217,0,2019-03-21
128329,67939,100,2019-11-14
20662,126070,0,2018-12-05
64086,61195,0,2019-08-11
156695,90321,39,2018-01-08
24433,41867,23,2019-11-30
51220,26366,7,2018-01-24
57189,99616,23,2019-07-30
112531,71384,35,2018-03-15
84995,147410,90,2019-02-19
107652,132276,100,2019-08-01
144640,192340,61,2018-02-01
57488,88397,100,2019-10-01
1937,258574,100,2018-02-11
142306,94393,16,2018-11-20
11313,99103,67,2019-09-28
59591,128278,100,2018-07-31
97751,48596,100,2019-03-27
41297,115003,0,2019-01-07
124285,238155,100,2018-09-04
